"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3","0.1uf","~","-- mixed values --","2",""
"C2","10nf","~","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","1",""
"J1","Conn_01x02_Pin","~","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1",""
"J2","Conn_01x03_Pin","~","Connector_PinHeader_2.00mm:PinHeader_1x03_P2.00mm_Vertical","1",""
"Q1","BC547","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"Q2,Q3","BC557","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"R1","2.2k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2","2k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"U1","CD74HCT86E","CD74HCT86E","xorfoot:N14","1",""
"U2","LM324N","LM324N","lm324foot:N14","1",""
"U3,U4","CD74HCT74E","CD74HCT74E","pll flip:N14","2",""
"U5","NE555P","http://www.ti.com/lit/ds/symlink/ne555.pdf","Package_DIP:DIP-8_W7.62mm","1",""
