Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uf","CP_Radial_D8.0mm_P3.80mm",161.197349,-61.000000,0.000000,top
"C2","10nf","CP_Radial_D8.0mm_P5.00mm",136.000000,-71.500000,-90.000000,top
"C3","0.1uf","CP_Radial_D8.0mm_P3.50mm",127.000000,-69.500000,180.000000,top
"J1","Conn_01x02_Pin","PinHeader_1x02_P2.00mm_Vertical",124.500000,-83.000000,180.000000,top
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.00mm_Vertical",144.000000,-40.000000,-90.000000,top
"Q1","BC547","TO-92_Inline",145.500000,-65.500000,-90.000000,top
"Q2","BC557","TO-92_Inline",146.770000,-73.640000,180.000000,top
"Q3","BC557","TO-92_Inline",145.730000,-81.860000,0.000000,top
"R1","2.2k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",161.500000,-43.920000,-90.000000,top
"R2","2k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",139.000000,-67.000000,180.000000,top
"U1","CD74HCT86E","N14",157.120000,-60.080000,0.000000,top
"U2","LM324N","N14",159.500000,-83.160000,0.000000,top
"U3","CD74HCT74E","N14",145.000000,-60.040000,0.000000,top
"U4","CD74HCT74E","N14",124.880000,-44.840000,180.000000,top
"U5","NE555P","DIP-8_W7.62mm",139.500000,-80.200000,-90.000000,top
